torch.Size([8, 1, 256, 256]) torch.Size([8, 2, 256, 256])
2500 625
Epoch 10/30
Iteration 300/2500
loss_D_fake: 0.51386
loss_D_real: 0.57318
loss_D: 0.54352
loss_G_GAN: 1.20305
loss_G_L1: 5.02104
loss_G: 6.22409

Epoch 10/30
Iteration 600/2500
loss_D_fake: 0.52246
loss_D_real: 0.58232
loss_D: 0.55239
loss_G_GAN: 1.19905
loss_G_L1: 4.96712
loss_G: 6.16618

Epoch 10/30
Iteration 900/2500
loss_D_fake: 0.51841
loss_D_real: 0.57936
loss_D: 0.54889
loss_G_GAN: 1.20036
loss_G_L1: 4.91075
loss_G: 6.11110

Epoch 10/30
Iteration 1200/2500
loss_D_fake: 0.52149
loss_D_real: 0.58381
loss_D: 0.55265
loss_G_GAN: 1.20259
loss_G_L1: 4.86609
loss_G: 6.06869

Epoch 10/30
Iteration 1500/2500
loss_D_fake: 0.51889
loss_D_real: 0.58456
loss_D: 0.55172
loss_G_GAN: 1.20709
loss_G_L1: 4.89267
loss_G: 6.09977

Epoch 10/30
Iteration 1800/2500
loss_D_fake: 0.51937
loss_D_real: 0.58408
loss_D: 0.55172
loss_G_GAN: 1.20393
loss_G_L1: 4.92786
loss_G: 6.13179

Epoch 10/30
Iteration 2100/2500
loss_D_fake: 0.52011
loss_D_real: 0.58361
loss_D: 0.55186
loss_G_GAN: 1.20148
loss_G_L1: 4.95255
loss_G: 6.15403

Epoch 10/30
Iteration 2400/2500
loss_D_fake: 0.51898
loss_D_real: 0.58212
loss_D: 0.55055
loss_G_GAN: 1.20430
loss_G_L1: 4.96154
loss_G: 6.16584
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 11/30
Iteration 300/2500
loss_D_fake: 0.52614
loss_D_real: 0.57786
loss_D: 0.55200
loss_G_GAN: 1.19898
loss_G_L1: 5.00473
loss_G: 6.20372

Epoch 11/30
Iteration 600/2500
loss_D_fake: 0.53132
loss_D_real: 0.57922
loss_D: 0.55527
loss_G_GAN: 1.20549
loss_G_L1: 4.92083
loss_G: 6.12632

Epoch 11/30
Iteration 900/2500
loss_D_fake: 0.52523
loss_D_real: 0.57958
loss_D: 0.55240
loss_G_GAN: 1.20940
loss_G_L1: 4.85758
loss_G: 6.06698

Epoch 11/30
Iteration 1200/2500
loss_D_fake: 0.52648
loss_D_real: 0.58331
loss_D: 0.55490
loss_G_GAN: 1.20570
loss_G_L1: 4.80725
loss_G: 6.01295

Epoch 11/30
Iteration 1500/2500
loss_D_fake: 0.52153
loss_D_real: 0.58065
loss_D: 0.55109
loss_G_GAN: 1.20784
loss_G_L1: 4.82775
loss_G: 6.03558

Epoch 11/30
Iteration 1800/2500
loss_D_fake: 0.52332
loss_D_real: 0.58294
loss_D: 0.55313
loss_G_GAN: 1.20684
loss_G_L1: 4.86299
loss_G: 6.06983

Epoch 11/30
Iteration 2100/2500
loss_D_fake: 0.52256
loss_D_real: 0.58110
loss_D: 0.55183
loss_G_GAN: 1.20867
loss_G_L1: 4.88071
loss_G: 6.08938

Epoch 11/30
Iteration 2400/2500
loss_D_fake: 0.52074
loss_D_real: 0.57930
loss_D: 0.55002
loss_G_GAN: 1.20787
loss_G_L1: 4.89405
loss_G: 6.10191
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 12/30
Iteration 300/2500
loss_D_fake: 0.51731
loss_D_real: 0.57179
loss_D: 0.54455
loss_G_GAN: 1.22539
loss_G_L1: 4.92153
loss_G: 6.14693

Epoch 12/30
Iteration 600/2500
loss_D_fake: 0.52616
loss_D_real: 0.57390
loss_D: 0.55003
loss_G_GAN: 1.21924
loss_G_L1: 4.81613
loss_G: 6.03537

Epoch 12/30
Iteration 900/2500
loss_D_fake: 0.52178
loss_D_real: 0.57022
loss_D: 0.54600
loss_G_GAN: 1.22302
loss_G_L1: 4.75627
loss_G: 5.97929

Epoch 12/30
Iteration 1200/2500
loss_D_fake: 0.52511
loss_D_real: 0.57682
loss_D: 0.55096
loss_G_GAN: 1.22131
loss_G_L1: 4.70903
loss_G: 5.93033

Epoch 12/30
Iteration 1500/2500
loss_D_fake: 0.52269
loss_D_real: 0.57657
loss_D: 0.54963
loss_G_GAN: 1.21934
loss_G_L1: 4.73424
loss_G: 5.95358

Epoch 12/30
Iteration 1800/2500
loss_D_fake: 0.52385
loss_D_real: 0.57733
loss_D: 0.55059
loss_G_GAN: 1.21537
loss_G_L1: 4.77012
loss_G: 5.98549

Epoch 12/30
Iteration 2100/2500
loss_D_fake: 0.52346
loss_D_real: 0.57549
loss_D: 0.54947
loss_G_GAN: 1.21591
loss_G_L1: 4.79091
loss_G: 6.00682

Epoch 12/30
Iteration 2400/2500
loss_D_fake: 0.52126
loss_D_real: 0.57375
loss_D: 0.54750
loss_G_GAN: 1.21887
loss_G_L1: 4.80471
loss_G: 6.02358
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 13/30
Iteration 300/2500
loss_D_fake: 0.51434
loss_D_real: 0.55883
loss_D: 0.53659
loss_G_GAN: 1.24828
loss_G_L1: 4.79059
loss_G: 6.03887

Epoch 13/30
Iteration 600/2500
loss_D_fake: 0.52670
loss_D_real: 0.57145
loss_D: 0.54907
loss_G_GAN: 1.23670
loss_G_L1: 4.74025
loss_G: 5.97696

Epoch 13/30
Iteration 900/2500
loss_D_fake: 0.52483
loss_D_real: 0.56962
loss_D: 0.54723
loss_G_GAN: 1.23420
loss_G_L1: 4.67327
loss_G: 5.90748

Epoch 13/30
Iteration 1200/2500
loss_D_fake: 0.52801
loss_D_real: 0.57370
loss_D: 0.55086
loss_G_GAN: 1.22973
loss_G_L1: 4.62418
loss_G: 5.85390

Epoch 13/30
Iteration 1500/2500
loss_D_fake: 0.52481
loss_D_real: 0.57247
loss_D: 0.54864
loss_G_GAN: 1.23079
loss_G_L1: 4.64851
loss_G: 5.87930

Epoch 13/30
Iteration 1800/2500
loss_D_fake: 0.52543
loss_D_real: 0.57143
loss_D: 0.54843
loss_G_GAN: 1.23092
loss_G_L1: 4.67782
loss_G: 5.90874

Epoch 13/30
Iteration 2100/2500
loss_D_fake: 0.52531
loss_D_real: 0.57051
loss_D: 0.54791
loss_G_GAN: 1.23092
loss_G_L1: 4.69810
loss_G: 5.92902

Epoch 13/30
Iteration 2400/2500
loss_D_fake: 0.52392
loss_D_real: 0.56890
loss_D: 0.54641
loss_G_GAN: 1.23153
loss_G_L1: 4.71165
loss_G: 5.94318
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 14/30
Iteration 300/2500
loss_D_fake: 0.51768
loss_D_real: 0.55575
loss_D: 0.53671
loss_G_GAN: 1.24417
loss_G_L1: 4.65726
loss_G: 5.90144

Epoch 14/30
Iteration 600/2500
loss_D_fake: 0.52926
loss_D_real: 0.56440
loss_D: 0.54683
loss_G_GAN: 1.23681
loss_G_L1: 4.60222
loss_G: 5.83903

Epoch 14/30
Iteration 900/2500
loss_D_fake: 0.52733
loss_D_real: 0.56249
loss_D: 0.54491
loss_G_GAN: 1.24018
loss_G_L1: 4.55850
loss_G: 5.79868

Epoch 14/30
Iteration 1200/2500
loss_D_fake: 0.52815
loss_D_real: 0.56677
loss_D: 0.54746
loss_G_GAN: 1.24149
loss_G_L1: 4.51810
loss_G: 5.75959

Epoch 14/30
Iteration 1500/2500
loss_D_fake: 0.52323
loss_D_real: 0.56373
loss_D: 0.54348
loss_G_GAN: 1.25023
loss_G_L1: 4.54159
loss_G: 5.79182

Epoch 14/30
Iteration 1800/2500
loss_D_fake: 0.51907
loss_D_real: 0.55816
loss_D: 0.53861
loss_G_GAN: 1.27367
loss_G_L1: 4.58312
loss_G: 5.85680

Epoch 14/30
Iteration 2100/2500
loss_D_fake: 0.49642
loss_D_real: 0.52912
loss_D: 0.51277
loss_G_GAN: 1.40780
loss_G_L1: 4.64461
loss_G: 6.05241

Epoch 14/30
Iteration 2400/2500
loss_D_fake: 0.47036
loss_D_real: 0.49806
loss_D: 0.48421
loss_G_GAN: 1.60201
loss_G_L1: 4.69294
loss_G: 6.29495
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 15/30
Iteration 300/2500
loss_D_fake: 0.34451
loss_D_real: 0.33510
loss_D: 0.33980
loss_G_GAN: 2.88037
loss_G_L1: 4.88649
loss_G: 7.76686

Epoch 15/30
Iteration 600/2500
loss_D_fake: 0.35969
loss_D_real: 0.35245
loss_D: 0.35607
loss_G_GAN: 2.62802
loss_G_L1: 4.78961
loss_G: 7.41763

Epoch 15/30
Iteration 900/2500
loss_D_fake: 0.38082
loss_D_real: 0.38141
loss_D: 0.38112
loss_G_GAN: 2.39874
loss_G_L1: 4.72323
loss_G: 7.12196

Epoch 15/30
Iteration 1200/2500
loss_D_fake: 0.38349
loss_D_real: 0.38874
loss_D: 0.38611
loss_G_GAN: 2.29230
loss_G_L1: 4.66022
loss_G: 6.95251

Epoch 15/30
Iteration 1500/2500
loss_D_fake: 0.38883
loss_D_real: 0.39861
loss_D: 0.39372
loss_G_GAN: 2.20595
loss_G_L1: 4.66241
loss_G: 6.86835

Epoch 15/30
Iteration 1800/2500
loss_D_fake: 0.39509
loss_D_real: 0.40804
loss_D: 0.40157
loss_G_GAN: 2.13690
loss_G_L1: 4.67835
loss_G: 6.81525

Epoch 15/30
Iteration 2100/2500
loss_D_fake: 0.40183
loss_D_real: 0.41786
loss_D: 0.40984
loss_G_GAN: 2.06624
loss_G_L1: 4.67913
loss_G: 6.74537

Epoch 15/30
Iteration 2400/2500
loss_D_fake: 0.40670
loss_D_real: 0.42534
loss_D: 0.41602
loss_G_GAN: 2.01057
loss_G_L1: 4.68134
loss_G: 6.69192
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 16/30
Iteration 300/2500
loss_D_fake: 0.44299
loss_D_real: 0.48094
loss_D: 0.46196
loss_G_GAN: 1.63352
loss_G_L1: 4.60087
loss_G: 6.23439

Epoch 16/30
Iteration 600/2500
loss_D_fake: 0.45397
loss_D_real: 0.48678
loss_D: 0.47038
loss_G_GAN: 1.60555
loss_G_L1: 4.52150
loss_G: 6.12705

Epoch 16/30
Iteration 900/2500
loss_D_fake: 0.45678
loss_D_real: 0.48757
loss_D: 0.47218
loss_G_GAN: 1.60832
loss_G_L1: 4.46296
loss_G: 6.07128

Epoch 16/30
Iteration 1200/2500
loss_D_fake: 0.44971
loss_D_real: 0.47740
loss_D: 0.46355
loss_G_GAN: 1.67948
loss_G_L1: 4.43651
loss_G: 6.11599

Epoch 16/30
Iteration 1500/2500
loss_D_fake: 0.44042
loss_D_real: 0.46761
loss_D: 0.45401
loss_G_GAN: 1.74797
loss_G_L1: 4.46857
loss_G: 6.21655

Epoch 16/30
Iteration 1800/2500
loss_D_fake: 0.44063
loss_D_real: 0.46617
loss_D: 0.45340
loss_G_GAN: 1.74903
loss_G_L1: 4.49665
loss_G: 6.24568

Epoch 16/30
Iteration 2100/2500
loss_D_fake: 0.44230
loss_D_real: 0.46822
loss_D: 0.45526
loss_G_GAN: 1.73081
loss_G_L1: 4.50933
loss_G: 6.24014

Epoch 16/30
Iteration 2400/2500
loss_D_fake: 0.44396
loss_D_real: 0.47017
loss_D: 0.45706
loss_G_GAN: 1.72193
loss_G_L1: 4.51296
loss_G: 6.23490
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 17/30
Iteration 300/2500
loss_D_fake: 0.45990
loss_D_real: 0.49079
loss_D: 0.47534
loss_G_GAN: 1.64624
loss_G_L1: 4.46720
loss_G: 6.11343

Epoch 17/30
Iteration 600/2500
loss_D_fake: 0.47642
loss_D_real: 0.50300
loss_D: 0.48971
loss_G_GAN: 1.60292
loss_G_L1: 4.39307
loss_G: 5.99599

Epoch 17/30
Iteration 900/2500
loss_D_fake: 0.47987
loss_D_real: 0.50413
loss_D: 0.49200
loss_G_GAN: 1.59665
loss_G_L1: 4.33505
loss_G: 5.93170

Epoch 17/30
Iteration 1200/2500
loss_D_fake: 0.47849
loss_D_real: 0.50215
loss_D: 0.49032
loss_G_GAN: 1.60893
loss_G_L1: 4.30682
loss_G: 5.91575

Epoch 17/30
Iteration 1500/2500
loss_D_fake: 0.46934
loss_D_real: 0.49229
loss_D: 0.48081
loss_G_GAN: 1.66191
loss_G_L1: 4.33489
loss_G: 5.99679

Epoch 17/30
Iteration 1800/2500
loss_D_fake: 0.46654
loss_D_real: 0.48789
loss_D: 0.47721
loss_G_GAN: 1.67300
loss_G_L1: 4.35877
loss_G: 6.03177

Epoch 17/30
Iteration 2100/2500
loss_D_fake: 0.46506
loss_D_real: 0.48633
loss_D: 0.47569
loss_G_GAN: 1.67285
loss_G_L1: 4.37797
loss_G: 6.05081

Epoch 17/30
Iteration 2400/2500
loss_D_fake: 0.46359
loss_D_real: 0.48489
loss_D: 0.47424
loss_G_GAN: 1.66884
loss_G_L1: 4.38759
loss_G: 6.05643
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 18/30
